member_id,age,loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
58189336,30,14350,14350,14350,36 months,NULL,19.19,E,E3,clerk,9 years,OWN,28700,Source Verified,n,NULL,debt_consolidation,Debt consolidation,349xx,FL,33.88,0,1,50,75,14,1,22515,73.1,28,f,1173.84,0,0,0,0,74,INDIVIDUAL,NULL,26th week,0,0,28699,30800,0
17563299,33,7200,7200,7150,36 months,NULL,12.99,C,C1,Top shelf sales,2 years,OWN,37000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,764xx,TX,13.43,0,0,73,50,11,1,6392,32,28,f,1047.06,0,0,0,0,47,INDIVIDUAL,NULL,70th week,0,0,8589,19800,1
52145013,35,20000,20000,20000,36 months,BAT1184694,12.69,C,C2,Store manager,10+ years,OWN,160000,Verified,n,NULL,home_improvement,Home improvement,038xx,NH,4.1,1,2,4,118,14,1,755,1.7,36,f,1538.96,0,0,0,0,66,INDIVIDUAL,NULL,35th week,0,805,234697,43300,0
72268079,30,7200,7200,7200,36 months,BAT2803411,14.48,C,C5,Assistant Manager,2 years,RENT,39750,Source Verified,n,NULL,debt_consolidation,Debt consolidation,423xx,KY,19.66,0,3,26,47,15,1,2353,78.4,18,w,81.09,0,0,0,0,26,INDIVIDUAL,NULL,4th week,0,0,58396,3000,0
57896812,59,5000,5000,5000,36 months,NULL,12.69,C,C2,Sales,10+ years,MORTGAGE,77000,Verified,n,NULL,credit_card,Credit card refinancing,057xx,VT,14.5,2,4,18,93,17,1,6981,45,25,w,295.25,0,0,0,0,89,INDIVIDUAL,NULL,26th week,0,0,174517,15550,0
58651642,35,6000,6000,6000,36 months,NULL,12.29,C,C1,inspector,10+ years,OWN,75000,Not Verified,n,NULL,debt_consolidation,Debt consolidation,566xx,MN,16.7,0,0,47,81,6,1,5554,37.5,9,w,338.91,0,0,0,0,47,INDIVIDUAL,NULL,26th week,0,0,78372,14800,0
52105020,36,7200,7200,7200,36 months,NULL,15.61,D,D1,Sales Consultant,2 years,MORTGAGE,60000,Verified,n,NULL,debt_consolidation,Debt consolidation,729xx,AR,21.62,2,2,15,29,19,3,11170,25.8,28,f,605.25,0,0,0,0,19,INDIVIDUAL,NULL,31th week,0,0,40749,43300,0
64223684,39,5050,5050,5050,36 months,NULL,12.69,C,C2,Physician,1 year,RENT,190000,Source Verified,n,NULL,other,Other,606xx,IL,22.3,1,0,1,38,12,1,1480,20.3,23,f,202.64,0,0,0,0,78,INDIVIDUAL,NULL,17th week,1,0,357941,7300,0
59660764,41,18000,18000,18000,60 months,NULL,17.57,D,D4,Data Analyst,10+ years,RENT,51650,Verified,n,NULL,debt_consolidation,Debt consolidation,317xx,GA,24.51,0,1,53,77,12,1,9453,62.2,52,w,1272.05,0,0,0,0,53,INDIVIDUAL,NULL,22th week,0,0,25608,15200,0
37105169,43,4800,4800,4800,36 months,BAT2558388,14.99,C,C5,TRANSPORTATION ENG. TECH.,10+ years,RENT,55000,Verified,n,NULL,debt_consolidation,Debt consolidation,061xx,CT,20.66,0,1,55,53,11,2,4592,36.2,27,w,708.21,0,0,0,0,55,INDIVIDUAL,NULL,61th week,0,0,38935,12700,0
70719694,39,14400,14400,14400,60 months,NULL,21.99,F,F1,Lead Officer,1 year,RENT,37000,Verified,n,NULL,debt_consolidation,Debt consolidation,946xx,CA,31.93,0,1,34,99,14,1,8102,26.3,21,w,228.7,0,0,0,0,34,INDIVIDUAL,NULL,4th week,0,0,30098,30800,0
36945138,43,7200,7200,7200,36 months,NULL,8.19,A,A5,NULL,n/a,MORTGAGE,18024,Verified,n,NULL,home_improvement,Home improvement,882xx,NM,9.72,0,0,68,55,12,1,2755,28.7,44,f,571.61,0,0,0,0,69,INDIVIDUAL,NULL,61th week,0,0,2755,9600,0
71318975,36,18350,18350,18350,60 months,BAT2803411,16.55,D,D2,Maintenance,10+ years,RENT,55000,Verified,n,NULL,debt_consolidation,Debt consolidation,225xx,VA,33.93,1,1,4,59,10,1,5369,46,19,w,278.39,0,0,0,0,67,INDIVIDUAL,NULL,4th week,0,0,82172,11610,0
13147165,20,20000,20000,20000,36 months,NULL,16.24,C,C5,NULL,10+ years,MORTGAGE,220000,Source Verified,n,NULL,small_business,Business,351xx,AL,13.27,0,0,53,56,11,2,4799,62.3,25,w,4597.74,0,0,0,0,53,INDIVIDUAL,NULL,104th week,0,3400,329538,7700,0
51543244,31,19600,19600,19600,60 months,BAT1184694,12.29,C,C1,Superintendent,10+ years,MORTGAGE,80000,Source Verified,n,NULL,debt_consolidation,Debt consolidation,744xx,OK,14.48,0,0,55,49,7,1,336,5.8,28,w,1509.43,0,0,0,0,55,INDIVIDUAL,NULL,35th week,0,0,38990,5800,0
18945146,40,2000,2000,2000,36 months,NULL,15.61,D,D1,NULL,n/a,OWN,45000,Source Verified,n,NULL,other,Other,334xx,FL,6.5,1,2,15,87,7,1,9657,29.7,16,f,389.04,0,0,0,0,15,INDIVIDUAL,NULL,83th week,0,0,9657,32500,0
31127745,56,24000,24000,24000,60 months,NULL,15.61,D,D1,Facility Engineer Asc Manager,10+ years,RENT,101000,Verified,n,NULL,debt_consolidation,Debt consolidation,880xx,NM,15.05,0,0,34,21,9,1,24205,88.3,13,w,4427.35,0,0,0,0,55,INDIVIDUAL,NULL,65th week,0,0,55669,27400,0
37077040,37,5600,5600,5600,36 months,NULL,14.99,C,C5,Business Assistant,n/a,MORTGAGE,45000,Not Verified,n,NULL,home_improvement,Home improvement,201xx,VA,13.65,0,2,56,31,15,3,5470,24.9,45,w,512.01,0,0,0,0,56,INDIVIDUAL,NULL,39th week,0,0,43083,22000,1
21379199,25,6050,6050,6050,36 months,NULL,12.99,C,C1,crewleader,10+ years,RENT,25000,Source Verified,n,NULL,credit_card,Credit card refinancing,611xx,IL,11.47,0,1,64,67,9,1,6289,26.8,31,f,971.87,0,0,0,0,64,INDIVIDUAL,NULL,83th week,0,0,6289,23500,0
55456009,31,3750,3750,3750,36 months,BAT3726927,17.86,D,D5,Registered Charge Nurse,10+ years,MORTGAGE,50000,Not Verified,n,NULL,home_improvement,Home improvement,217xx,MD,8.57,1,1,6,73,6,1,2158,28.8,18,w,344.53,0,0,0,0,68,INDIVIDUAL,NULL,31th week,0,0,366823,7500,0
